desc,physicalObject,OSMtidyStage
Business and commerce; Accountants and auditors,Accountancy firms,fromFilters
Business and commerce; Tax advisor,Accountancy firms,fromFilters
Business and commerce; Advertising and graphic design,Advertising,fromFilters
Business and commerce; Public relations,Advertising,fromFilters
Food production and horticulture; Agriculture,Agriculture,fromFilters
Food production and horticulture; Bee keeping,Agriculture,fromFilters
Food production and horticulture; Dairy,Agriculture,fromFilters
Food production and horticulture; Farming,Agriculture,fromFilters
Food production and horticulture; Greenhouses and glasshouses,Agriculture,fromFilters
Food production and horticulture; Horticulture,Agriculture,fromFilters
Food production and horticulture; Livestock,Agriculture,fromFilters
Food production and horticulture; Orchard,Agriculture,fromFilters
Food production and horticulture; Tree and plant nurseries,Agriculture,fromFilters
Outdoors and natural environment; Allotments and community gardens,Agriculture,fromFilters
Governance; Ambulance station,Ambulance stations,fromFilters
Animal; Boarding,Animal care,fromFilters
Retail; Pet,Animal care,fromFilters
Trades and services; Animal grooming,Animal care,fromFilters
Animal; Shelter and welfare,Animal shelters,fromFilters
Retail; Boutique,Apparel retail,fromFilters
Retail; Clothing,Apparel retail,fromFilters
Retail; Clothing accessories,Apparel retail,fromFilters
Trades and services; Dry cleaning and laundrette,Apparel services,fromFilters
Trades and services; Tailor,Apparel services,fromFilters
Attractions; Aquarium,Aquariums,fromFilters
Waterway; Aquaducts and viaducts,Aqueducts and viaducts,fromFilters
Military; Barracks,Armed forces barracks,fromFilters
Military; Administration,Armed forces offices,fromFilters
Military; Reserves,Armed forces offices,fromFilters
Military; Land,Armed forces training grounds,fromFilters
Military; Parade grounds,Armed forces training grounds,fromFilters
Military; Training grounds,Armed forces training grounds,fromFilters
Healthcare; Hospice,Assisted living (health),fromFilters
Social facility; Drug rehabilitation,Assisted living (health),fromFilters
Social facility; Supported housing (health),Assisted living (health),fromFilters
Social facility; Supported housing (social),Assisted living (social),fromFilters
Amenity; ATM,ATMs,fromFilters
Attractions,Attractions,fromFilters
Attractions; Amusement arcade,Attractions,fromFilters
Attractions; Bowling alley,Attractions,fromFilters
Attractions; Escape room,Attractions,fromFilters
Attractions; Go Karting centre,Attractions,fromFilters
Attractions; Karaoke,Attractions,fromFilters
Attractions; Miniature railway,Attractions,fromFilters
Attractions; Multiplex,Attractions,fromFilters
Attractions; Paintball,Attractions,fromFilters
Attractions; Trampoline park,Attractions,fromFilters
Attractions; Water and theme parks,Attractions,fromFilters
Sports and games; Racing and motor sport,Attractions,fromFilters
Retail; Auction house,Auction houses,fromFilters
Vehicles; Retail,Automotive retail,fromFilters
Business and commerce; Bank office,Bank headquarters,fromFilters
Business and commerce; Bank,Banks,fromFilters
Business and commerce; Banks and building societies,Banks,fromFilters
Business and commerce; Credit union,Banks,fromFilters
Barrier,"Barriers, gates, and fences",fromFilters
Barrier; Bollard,"Barriers, gates, and fences",fromFilters
Barrier; Cycle,"Barriers, gates, and fences",fromFilters
Barrier; Height restriction,"Barriers, gates, and fences",fromFilters
Barrier; Wall,"Barriers, gates, and fences",fromFilters
Attractions; Burlesque club,Bars and nightclubs,fromFilters
Attractions; Caberet club,Bars and nightclubs,fromFilters
Attractions; Nightclub,Bars and nightclubs,fromFilters
Attractions; Pool hall,Bars and nightclubs,fromFilters
Hospitality; Bar,Bars and nightclubs,fromFilters
University; Student union,Bars and nightclubs,fromFilters
Outdoors and natural environment; Beach,Beaches,fromFilters
Retail; Beauty and cosmetics,Beauty services,fromFilters
Trades and services; Beauty industry,Beauty services,fromFilters
Training; Beauty school,Beauty services,fromFilters
Amenity; Public trash bin,Bins,fromFilters
Waste management; Communal recycling bin,Bins,fromFilters
Waste management; Communal rubbish bin,Bins,fromFilters
Healthcare; Blood bank,Blood banks,fromFilters
Attractions; Botanical garden,Botanical gardens,fromFilters
Transport infrastructure; Bridge,Bridges,fromFilters
Telecommunications; Office,Broadband provider offices,fromFilters
Business and commerce; Production company,Broadcasting,fromFilters
Telecommunications; Broadcasting studio,Broadcasting,fromFilters
Brownfield site,Brownfield sites,fromFilters
Transport infrastructure; Railway land,Brownfield sites,fromFilters
Public transport; Bus station,Bus stations,fromFilters
Public transport; Bus stop,Bus stops,fromFilters
Business and commerce; Chambers,Business services,fromFilters
Manufacturing; Signmaker,Business services,fromFilters
Retail; Printing and copying,Business services,fromFilters
Trades and services; Business,Business services,fromFilters
Training; Meeting and training space,Business services,fromFilters
Hospitality; Cafe,Cafes,fromFilters
Hospitality; Cafes and coffee shops,Cafes,fromFilters
Hospitality; Camping,Camping grounds,fromFilters
Waterway; Canal,Canals,fromFilters
Waterway; Canal lock,Canals,fromFilters
Business and commerce; Employment and recruitment agencies,Career and employment support services,fromFilters
Business and commerce; Recruitment,Career and employment support services,fromFilters
Social facility; Careers advice,Career and employment support services,fromFilters
Social facility; Job centre,Career and employment support services,fromFilters
Attractions; Betting shop,Casinos and gaming,fromFilters
Attractions; Bingo hall,Casinos and gaming,fromFilters
Attractions; Casinos and gaming,Casinos and gaming,fromFilters
Attractions; Historic,Castles and fortifications,fromFilters
Historic; Castle,Castles and fortifications,fromFilters
Religious sites and buildings; Cemeteries and graveyards,Cemeteries,fromFilters
Business and commerce; NGO,Charity organisations,fromFilters
Regeneration programme,Charity organisations,fromFilters
Social facility; Charitable organisation offices or facilities,Charity organisations,fromFilters
Social facility; Salvation Army,Charity organisations,fromFilters
Retail; Charitable organisation,Charity shops,fromFilters
Retail; Charity shop,Charity shops,fromFilters
Community centres; Breakfast & after school clubs and youth centres,Children's clubs,fromFilters
Community centres; Social clubs,Children's clubs,fromFilters
Community centres; Youth organisations,Children's clubs,fromFilters
Attractions; Cinema,Cinemas,fromFilters
Social facility; Citizens advice,Citizens Advice Bureaus,fromFilters
Outdoors and natural environment; Commons and gardens,Common green areas,fromFilters
Outdoors and natural environment; Forest and woodland,Common green areas,fromFilters
Community centres,Community centres,fromFilters
"Community centres; Hall (Town, village or church)",Community centres,fromFilters
Business and commerce; Appliances,Computer and electronics retail and services,fromFilters
Retail; Electronics and household appliances,Computer and electronics retail and services,fromFilters
Retail; IT and software,Computer and electronics retail and services,fromFilters
Trades and services; Electronics repair,Computer and electronics retail and services,fromFilters
Exhibition centres; Conference centres,Conference and exhibition centres (general),fromFilters
Exhibition centres; Events venue,Conference and exhibition centres (general),fromFilters
Exhibition centres; Ice rink,Conference and exhibition centres (general),fromFilters
Exhibition centres; Stadiums and arenas,Conference and exhibition centres (general),fromFilters
Business and commerce; Engineering,Construction and engineering,fromFilters
Road and rail maintenance,Construction and engineering,fromFilters
Trades and services; Builder,Construction and engineering,fromFilters
Business and commerce; Money transfer and currency exchange,Consumer finance,fromFilters
Business and commerce; Pawnbrokers and money lenders,Consumer finance,fromFilters
Buildings; Council offices,Council offices,fromFilters
"Social facility; Government, financial services",Council offices,fromFilters
Social facility; Housing office,Council offices,fromFilters
Logistics; Courier,Couriers,fromFilters
Buildings; Courthouses,Courthouses,fromFilters
Business and commerce; Business centres and managed / serviced offices,Coworking office spaces,fromFilters
Business and commerce; Coworking office,Coworking office spaces,fromFilters
Creative spaces; Art studios and centres,Creative spaces,fromFilters
Creative spaces; Dance studios,Creative spaces,fromFilters
Creative spaces; Photo studios and photographers,Creative spaces,fromFilters
Creative spaces; Recording studios,Creative spaces,fromFilters
Manufacturing; Glassblower,Creative spaces,fromFilters
Manufacturing; Potter,Creative spaces,fromFilters
Manufacturing; Sculptor,Creative spaces,fromFilters
Training; Cooking,Creative spaces,fromFilters
Training; Language school,Creative spaces,fromFilters
Training; School of performing arts,Creative spaces,fromFilters
University; Conservatoire,Creative spaces,fromFilters
Traffic crossings; Bicycle,Crossings,fromFilters
Traffic crossings; Controlled / signalled,Crossings,fromFilters
Traffic crossings; Ford,Crossings,fromFilters
Traffic crossings; Level crossing,Crossings,fromFilters
Traffic crossings; Uncontrolled,Crossings,fromFilters
Social facility; Day care (not children),Day centres,fromFilters
Trades and services; Death care,Death-care services,fromFilters
Healthcare; Dental,Dental and orthodontal practices,fromFilters
Hospitality; Caterer,Dining and catering services,fromFilters
Trades and services; Caterer,Dining and catering services,fromFilters
Trades and services; Mobile caterer,Dining and catering services,fromFilters
Governance; Diplomacy,Diplomatic buildings,fromFilters
Industry; Warehouse,Distribution centres,fromFilters
Logistics; Depots and sorting offices,Distribution centres,fromFilters
Logistics; Distribution centre,Distribution centres,fromFilters
Logistics; Distribution centre (supermarket),Distribution centres,fromFilters
Training; Driving schools and test centres,Driving schools,fromFilters
Food retail; Delicatessan,Eateries,fromFilters
Hospitality; Eateries and restaurants,Eateries,fromFilters
Hospitality; Pub,Eateries,fromFilters
Utilities office; Energy,Electricity provider offices,fromFilters
Business and commerce; Surveying company,Environmental consulting and quantity surveying firms,fromFilters
Buildings; Environmental regulators and managers,Environmental regulators,fromFilters
Amenity; Electric car charging point,EV charging stations,fromFilters
Hospitality; Festivals and events management,Events management,fromFilters
Retail; Tickets,Events management,fromFilters
Manufacturing; Stonemason,Exterior building trades,fromFilters
Trades and services; Exteriors,Exterior building trades,fromFilters
Public transport; Ferry terminal,Ferry terminals,fromFilters
Business and commerce; Finances and investment,Financial advisors,fromFilters
Business and commerce; Financial advice,Financial advisors,fromFilters
Business and commerce; Financial advisor,Financial advisors,fromFilters
Business and commerce; Investment,Financial advisors,fromFilters
Governance; Community fire station,Fire stations,fromFilters
Governance; Fire station,Fire stations,fromFilters
Social facility; Food banks and soup kitchens,Food banks,fromFilters
Retail; Audiovisual,Furnishing retail,fromFilters
Retail; Home furnishing and homeware,Furnishing retail,fromFilters
Business and commerce; Interior designers,Furnishing services,fromFilters
Manufacturing; Framer,Furnishing services,fromFilters
Trades and services; Furniture repair,Furnishing services,fromFilters
Trades and services; Upholstery,Furnishing services,fromFilters
Gas network; Administrative office,Gas provider offices,fromFilters
Gas network; Works,Gas storage tanks,fromFilters
Gas network; Node,Gas terminals,fromFilters
Gas network; Substation,Gas terminals,fromFilters
Outdoors and natural environment; Grass land,Grasslands and meadows,fromFilters
Outdoors and natural environment; Meadow,Grasslands and meadows,fromFilters
Outdoors and natural environment; Shrub land,Grasslands and meadows,fromFilters
Healthcare; Alternative,Other discretionary goods retail,fromFilters
Retail; Alternative medicine,Healthcare (alternative),fromFilters
Healthcare; Physiotherapy and massage,Healthcare (physiotherapy),fromFilters
Healthcare; Cosmetic and plastic surgery,Healthcare (specialist),fromFilters
Healthcare; Specialist,Healthcare (specialist),fromFilters
Retail; Healthcare,Healthcare (specialist),fromFilters
Social facility; Homecare service,Healthcare (homecare),fromFilters
Healthcare; Outpatient services,Hospitals,fromFilters
Public transport; Helipad,Helipads,fromFilters
College,Higher education,fromFilters
University,Higher education,fromFilters
Amenity; Fountain (decorative),Historic points of interest,fromFilters
Amenity; Scenic viewpoint,Historic points of interest,fromFilters
Historic; Artefact,Historic points of interest,fromFilters
Historic; Building,Historic points of interest,fromFilters
Historic; Folly,Historic points of interest,fromFilters
Historic; Fortifications,Historic points of interest,fromFilters
Historic; Lighthouse,Historic points of interest,fromFilters
Historic; Memorial,Historic points of interest,fromFilters
Historic; Milestones and stone markers,Historic points of interest,fromFilters
Historic; Mine,Historic points of interest,fromFilters
Historic; Monuments and statues,Historic points of interest,fromFilters
Historic; Plaque,Historic points of interest,fromFilters
Historic; Police call box,Historic points of interest,fromFilters
Historic; Quarry,Historic points of interest,fromFilters
Historic; Residences,Historic points of interest,fromFilters
Historic; Ruins and archaeological sites,Historic points of interest,fromFilters
Historic; Ships and aircraft,Historic points of interest,fromFilters
Historic; Tomb,Historic points of interest,fromFilters
Historic; War memorials and battlefields,Historic points of interest,fromFilters
Point of interest; Historic,Historic points of interest,fromFilters
Religious sites and buildings; Shrines and relics,Historic points of interest,fromFilters
Retail; Garden,Home and outdoor maintenance retail,fromFilters
Retail; Home improvement and DIY,Home and outdoor maintenance retail,fromFilters
Retail; Household and cleaning,Home and outdoor maintenance retail,fromFilters
Council; Park and street care,Home and outdoor maintenance services,fromFilters
Environmental management; Pest control,Home and outdoor maintenance services,fromFilters
Trades and services; Cleaner,Home and outdoor maintenance services,fromFilters
Trades and services; Gardener,Home and outdoor maintenance services,fromFilters
Trades and services; Tool and equipment hire,Home and outdoor maintenance services,fromFilters
Wastewater; Septic system services,Home and outdoor maintenance services,fromFilters
Social facility; Homeless shelter,Homeless shelters,fromFilters
Healthcare; Hospital,Hospitals,fromFilters
Healthcare; Hospital administration office,Hospitals,fromFilters
University; Hospital,Hospitals,fromFilters
Hospitality; Apartments and serviced apartments,Hotels,fromFilters
Hospitality; Guest house,Hotels,fromFilters
Hospitality; Hostel,Hotels,fromFilters
Hospitality; Hotels and motels,Hotels,fromFilters
Electricity generation; Generator,Independent or renewable power sources,fromFilters
Electricity generation; Geothermal,Independent or renewable power sources,fromFilters
Electricity generation; Intermittent renewables,Independent or renewable power sources,fromFilters
Electricity generation; Small and sustainable energy sources,Independent or renewable power sources,fromFilters
Business and commerce; Insurance,Insurance provider offices,fromFilters
Governance; Insurance,Insurance provider offices,fromFilters
Waste management; Integrated facility,Integrated waste facilities,fromFilters
Trades and services; Carpenter,Interior building trades,fromFilters
Trades and services; Glazing,Interior building trades,fromFilters
Trades and services; Interiors,Interior building trades,fromFilters
Hospitality; Internet cafe,Internet cafes,fromFilters
Business and commerce; Technology and software,IT software and services,fromFilters
Water; Lentic water bodies,Lakes and ponds,fromFilters
Waste management; Landfill,Landfills and endpoint waste sites,fromFilters
Buildings; Learned societies,Learned societies,fromFilters
Buildings; Lawyers and solicitors,Legal services,fromFilters
Buildings; Legal aid,Legal services,fromFilters
Buildings; Archive,Libraries and archives,fromFilters
Buildings; Library,Libraries and archives,fromFilters
Governance; Lifeboat station,Lifeboat stations,fromFilters
Trades and services; Locksmiths and cobblers,Locksmiths and cobblers,fromFilters
Manufacturing; Clothing,Manufacturing (consumer discretionary),fromFilters
Manufacturing; Vehicle,Manufacturing (consumer discretionary),fromFilters
Manufacturing; Watchmakers and jewlers,Manufacturing (consumer discretionary),fromFilters
Manufacturing; Confectioner,Manufacturing (consumer staples),fromFilters
"Manufacturing; Distilling, brewing and winemaking",Manufacturing (consumer staples),fromFilters
Business and commerce; Oil major,Manufacturing (energy),fromFilters
Industry; Coal yard,Manufacturing (energy),fromFilters
Industry; Gas supply,Manufacturing (energy),fromFilters
Industry; Oil and petroleum supply,Manufacturing (energy),fromFilters
Industry; Oil pipeline,Manufacturing (energy),fromFilters
Industry; Refinery,Manufacturing (energy),fromFilters
Manufacturing; Industrials,Manufacturing (industrials),fromFilters
Manufacturing; Safety and security,Manufacturing (industrials),fromFilters
Industry; Materials,Manufacturing (materials),fromFilters
Industry; Quarry,Manufacturing (materials),fromFilters
Industry; Wood,Manufacturing (materials),fromFilters
Manufacturing; Blacksmiths and ironmongery,Manufacturing (materials),fromFilters
Manufacturing; Chemical works,Manufacturing (materials),fromFilters
Manufacturing; Packaging,Manufacturing (materials),fromFilters
Attractions; Marinas,Marinas,fromFilters
Healthcare; Medical laboratory,Medical laboratories,fromFilters
Healthcare; General practice,Medical practices,fromFilters
Healthcare; Private,Medical practices,fromFilters
Healthcare; Walk-in clinic,Medical practices,fromFilters
Healthcare; Mental health and counselling,Mental health services,fromFilters
Retail; Department store,Multi-line retail,fromFilters
Retail; Discount,Multi-line retail,fromFilters
Attractions; Museums and art galleries,Museums and art galleries,fromFilters
Attractions; Science centre,Museums and art galleries,fromFilters
Amenity; Bandstand,Music and theatre venues,fromFilters
Attractions; Comedy club,Music and theatre venues,fromFilters
Attractions; Music or concert venue,Music and theatre venues,fromFilters
Attractions; Theatre,Music and theatre venues,fromFilters
Buildings; Government transport agencies,National government buildings,fromFilters
Business and commerce; Defence agencies,National government buildings,fromFilters
Business and commerce; QUANGO,National government buildings,fromFilters
Governance; Civic,National government buildings,fromFilters
Governance; Defence agencies,National government buildings,fromFilters
Governance; General public,National government buildings,fromFilters
Governance; Standards agency,National government buildings,fromFilters
"Social facility; Government, homeless services",National government buildings,fromFilters
Social facility; Immigration aid,National government buildings,fromFilters
Outdoors and natural environment; Nature reserve,Nature reserves,fromFilters
Buildings; Childcare,Nurseries,fromFilters
Buildings; Nurseries and kindergartens,Nurseries,fromFilters
School; Infant,Nurseries,fromFilters
University; Observatory,Observatories,fromFilters
Buildings; Headquarters,Headquarters (other),fromFilters
Business and commerce; Administrative office,Offices (other),fromFilters
Business and commerce; Business park,Offices (other),fromFilters
Business and commerce; Company office,Offices (other),fromFilters
Business and commerce; Office,Offices (other),fromFilters
Industry; Industrial estate,Offices (other),fromFilters
Retail; Off-licence,Off-licenses,fromFilters
Healthcare; Optician,Opticians and ophthalmologists,fromFilters
Amenity; Free library,Other communal resources,fromFilters
Retail,Other discretionary goods retail,fromFilters
Retail; Arts and crafts,Other discretionary goods retail,fromFilters
Retail; Bookshop,Other discretionary goods retail,fromFilters
Retail; Erotic and adult,Other discretionary goods retail,fromFilters
"Retail; Games, music and video",Other discretionary goods retail,fromFilters
Retail; Gifts and souvenir,Other discretionary goods retail,fromFilters
Retail; Hobbies and skills development,Other discretionary goods retail,fromFilters
Retail; Speciality and luxury goods,Other discretionary goods retail,fromFilters
Attractions; Sauna,Other discretionary services,fromFilters
Attractions; Sex industry,Other discretionary services,fromFilters
Attractions; Stripclubs and erotic dancing,Other discretionary services,fromFilters
Trades and services; Chauffeur company,Other discretionary services,fromFilters
Trades and services; Speciality and luxury,Other discretionary services,fromFilters
Retail; Baby care and maternity,Other staple goods retail,fromFilters
Amenity; Bicycle parking,Parking,fromFilters
Amenity; Boat mooring,Parking,fromFilters
Amenity; Parking,Parking,fromFilters
Amenity; Parking (entrance),Parking,fromFilters
Amenity; Underground and multi-storey car parks,Parking,fromFilters
Amenity; Dog walking park,Parks,fromFilters
Amenity; Park,Parks,fromFilters
Healthcare; Pharmacy,Pharmacies,fromFilters
Amenity; Piers and boardwalks,Piers and boardwalks,fromFilters
Attractions; Soft play,Playgrounds (indoor),fromFilters
Sports and games; Indoor playground,Playgrounds (indoor),fromFilters
Sports and games; Outdoor playground,Playgrounds (outdoor),fromFilters
Buildings; Transport police,Police stations,fromFilters
Governance; Overseas registration unit,Police stations,fromFilters
Governance; Parks police,Police stations,fromFilters
"Governance; Police agencies, offices and headquarters",Police stations,fromFilters
Governance; Police stations,Police stations,fromFilters
Governance; Traffic wardens,Police stations,fromFilters
Buildings; Political offices,Political offices,fromFilters
Amenity; Post box,Post boxes,fromFilters
Logistics; Post office,Post offices,fromFilters
Water; Pipeline,Potable water pipes,fromFilters
Electricity network; Cable (underground),Power lines,fromFilters
Electricity network; Line (overhead),Power lines,fromFilters
Electricity network; Distribution cabinet,"Power poles, towers, and converter stations",fromFilters
Electricity network; Pole,"Power poles, towers, and converter stations",fromFilters
Electricity network; Tower,"Power poles, towers, and converter stations",fromFilters
Electricity network; Transition point,"Power poles, towers, and converter stations",fromFilters
Electricity generation,Power stations,fromFilters
Electricity generation; Incinerator,Power stations,fromFilters
Electricity generation; Power plant,Power stations,fromFilters
Electricity network; Substation,Power stations,fromFilters
